INDICE DE USOS - AREA DE TRATAMIENTO NORMATIVO I
Zonas: RDM, RDA, VT, CV, CZ, CM, I-1, I-2, I-3, I-4
P=Permitido, H=Compatible/Habilitado

D 15 3 2 05 | MOLINOS DE MAIZ HUMEDO | I-1=P I-2=P I-3=P
D 15 3 2 06 | FABRICA DE ACEITES DE MAIZ | I-1=P I-2=P I-3=P
D 15 3 3 01 | FABRICA DE ALIMENTOS PARA ANIMALES DE GRANJA: CONCENTRADOS,  | I-1=P I-3=P I-4=P
D 15 3 3 02 | FABRICA DE ALIMENTOS PARA ANIMALES DOMESTICOS | I-1=P I-3=P I-4=P
D 15 4 1 01 | PANADERIAS Y PASTELERIAS | RDM=H RDA=H VT=P CV=P CZ=P CM=P I-1=P I-2=P I-3=P
D 15 4 2 01 | JARABE DE AZUCAR DE REMOLACHA Y DE CAÑA | VT=H I-1=P I-2=P I-3=P
D 15 4 2 02 | OTROS AZUCARES Y JARABES DE AZUCAR | I-2=P I-3=P
D 15 4 2 03 | PRODUCTORES DE AZUCAR DE CAÑA Y DE REMOLACHA | I-4=P
D 15 4 2 04 | PRODUCTORES DE AZUCAR DE CAÑA EN BRUTO | I-4=P
D 15 4 2 05 | PRODUCTORES DE MELAZAS | I-4=P
D 15 4 3 01 | FABRICA DE PRODUCTOS DE CACAO | VT=H I-1=P I-2=P I-3=P
D 15 4 3 02 | FABRICA DE CHOCOLATES | RDM=H RDA=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 4 3 03 | FABRICA DE MANTECA, GRASA Y ACEITE DE CACAO | I-1=P I-2=P I-3=P
D 15 4 3 04 | CONSERVACION EN AZUCAR DE FRUTAS, NUECES, CORTEZAS, ETC | RDM=H RDA=H VT=H CV=H CZ=H CM=P I-1=P I-2=P I-3=P
D 15 4 3 05 | FABRICA DE GOMA DE MASCAR | I-1=P I-2=P I-3=P
D 15 4 3 06 | FABRICA DE CARAMELOS | RDM=H RDA=H VT=H CM=P I-1=P I-2=P I-3=P
